Area,Year,Temperature Change,Standard Deviation
Antarctica,1961,-1.807,1.24
Antarctica,1961,-0.471,1.084
Antarctica,1961,-2.035,1.156
Antarctica,1961,-1.477,1.868
Antarctica,1961,0.497,1.704
Antarctica,1961,3.399,1.929
Antarctica,1961,0.016,1.801
Antarctica,1961,2.058,2.216
Antarctica,1961,1.908,2.058
Antarctica,1961,1.282,1.344
Antarctica,1961,-0.059,1.124
Antarctica,1961,-1.283,1.161
South Africa,1961,-0.307,0.637
South Africa,1961,0.357,0.583
South Africa,1961,0.348,0.625
South Africa,1961,0.537,0.64
South Africa,1961,-0.232,0.483
South Africa,1961,1.015,0.788
South Africa,1961,1.188,0.656
South Africa,1961,-0.352,0.65
South Africa,1961,0.896,0.742
South Africa,1961,-0.766,0.762
South Africa,1961,0.316,0.657
South Africa,1961,-0.717,0.701
Africa,1961,0.105,0.488
Africa,1961,-0.814,0.483
Africa,1961,-0.492,0.484
Africa,1961,0.318,0.316
Africa,1961,0.684,0.341
Africa,1961,0.28,0.292
Africa,1961,0.047,0.313
Africa,1961,-0.422,0.303
Africa,1961,-0.257,0.304
Africa,1961,-0.322,0.304
Africa,1961,-0.148,0.314
Africa,1961,-0.406,0.353
Eastern Africa,1961,0.371,0.345
Eastern Africa,1961,-0.115,0.338
Eastern Africa,1961,0.246,0.363
Eastern Africa,1961,0.444,0.399
Eastern Africa,1961,0.988,0.451
Eastern Africa,1961,0.73,0.369
Eastern Africa,1961,0.499,0.353
Eastern Africa,1961,-0.293,0.349
Eastern Africa,1961,0.048,0.346
Eastern Africa,1961,0.058,0.371
Eastern Africa,1961,-0.633,0.304
Eastern Africa,1961,-0.466,0.378
Middle Africa,1961,0.434,0.418
Middle Africa,1961,-1.057,0.506
Middle Africa,1961,-0.276,0.355
Middle Africa,1961,-0.008,0.317
Middle Africa,1961,0.456,0.291
Middle Africa,1961,0.0,0.26
Middle Africa,1961,-0.167,0.327
Middle Africa,1961,-0.511,0.295
Middle Africa,1961,-0.301,0.33
Middle Africa,1961,-0.369,0.27
Middle Africa,1961,-0.494,0.301
Middle Africa,1961,-0.618,0.401
Northern Africa,1961,0.127,0.767
Northern Africa,1961,-0.907,0.804
Northern Africa,1961,-1.004,0.79
Northern Africa,1961,0.571,0.395
Northern Africa,1961,0.932,0.506
Northern Africa,1961,0.204,0.308
Northern Africa,1961,-0.167,0.419
Northern Africa,1961,-0.44,0.312
Northern Africa,1961,-0.755,0.368
Northern Africa,1961,-0.559,0.45
Northern Africa,1961,0.489,0.624
Northern Africa,1961,0.007,0.642
Southern Africa,1961,-0.372,0.706
Southern Africa,1961,0.164,0.624
Southern Africa,1961,0.076,0.753
Southern Africa,1961,0.57,0.617
Southern Africa,1961,-0.024,0.409
Southern Africa,1961,0.6,0.852
Southern Africa,1961,1.302,0.572
Southern Africa,1961,-0.416,0.61
Southern Africa,1961,0.895,0.621
Southern Africa,1961,-0.482,0.685
Southern Africa,1961,0.053,0.585
Southern Africa,1961,-0.477,0.58
Western Africa,1961,-0.35,0.915
Western Africa,1961,-1.571,0.781
Western Africa,1961,-1.024,0.701
Western Africa,1961,0.079,0.498
Western Africa,1961,0.578,0.425
Western Africa,1961,0.079,0.44
Western Africa,1961,-0.44,0.446
Western Africa,1961,-0.436,0.51
Western Africa,1961,-0.336,0.478
Western Africa,1961,-0.267,0.424
Western Africa,1961,-0.247,0.437
Western Africa,1961,-0.656,0.57
Northern America,1961,0.699,0.948
Northern America,1961,0.684,1.621
Northern America,1961,-0.243,1.087
Northern America,1961,-0.7,0.825
Northern America,1961,-0.6,0.519
Northern America,1961,0.552,0.429
Northern America,1961,0.153,0.366
Northern America,1961,0.37,0.38
Northern America,1961,-0.559,0.602
Northern America,1961,-0.727,0.936
Northern America,1961,-0.273,0.627
Northern America,1961,-1.117,1.326
Central America,1961,-0.24,0.595
Central America,1961,-0.111,0.52
Central America,1961,0.181,0.643
Central America,1961,0.209,0.461
Central America,1961,0.564,0.325
Central America,1961,-0.12,0.403
Central America,1961,-0.407,0.488
Central America,1961,-0.165,0.385
Central America,1961,-0.217,0.403
Central America,1961,-0.098,0.469
Central America,1961,-0.468,0.566
Central America,1961,0.085,0.513
South America,1961,0.015,0.263
South America,1961,-0.128,0.326
South America,1961,-0.098,0.414
South America,1961,0.064,0.418
South America,1961,0.499,0.479
South America,1961,-0.406,0.564
South America,1961,-0.116,0.495
South America,1961,0.712,0.39
South America,1961,0.275,0.334
South America,1961,0.347,0.335
South America,1961,0.223,0.315
South America,1961,-0.14,0.272
Central Asia,1961,,
Central Asia,1961,,
Central Asia,1961,,
Central Asia,1961,,
Central Asia,1961,,
Central Asia,1961,,
Central Asia,1961,,
Central Asia,1961,,
Central Asia,1961,,
Central Asia,1961,,
Central Asia,1961,,
Central Asia,1961,,
Eastern Asia,1961,-0.079,1.045
Eastern Asia,1961,0.592,1.725
Eastern Asia,1961,0.413,1.077
Eastern Asia,1961,1.18,0.683
Eastern Asia,1961,-0.147,0.467
Eastern Asia,1961,0.551,0.366
Eastern Asia,1961,0.526,0.303
Eastern Asia,1961,-0.005,0.42
Eastern Asia,1961,0.306,0.482
Eastern Asia,1961,-0.138,0.524
Eastern Asia,1961,0.744,1.088
Eastern Asia,1961,-0.328,1.24
Southern Asia,1961,0.537,0.962
Southern Asia,1961,-1.269,1.265
