Area,Year,Standard Deviation
Antarctica,1961,1.24
Antarctica,1961,1.084
Antarctica,1961,1.156
Antarctica,1961,1.868
Antarctica,1961,1.704
Antarctica,1961,1.929
Antarctica,1961,1.801
Antarctica,1961,2.216
Antarctica,1961,2.058
Antarctica,1961,1.344
Antarctica,1961,1.124
Antarctica,1961,1.161
South Africa,1961,0.637
South Africa,1961,0.583
South Africa,1961,0.625
South Africa,1961,0.64
South Africa,1961,0.483
South Africa,1961,0.788
South Africa,1961,0.656
South Africa,1961,0.65
South Africa,1961,0.742
South Africa,1961,0.762
South Africa,1961,0.657
South Africa,1961,0.701
Africa,1961,0.488
Africa,1961,0.483
Africa,1961,0.484
Africa,1961,0.316
Africa,1961,0.341
Africa,1961,0.292
Africa,1961,0.313
Africa,1961,0.303
Africa,1961,0.304
Africa,1961,0.304
Africa,1961,0.314
Africa,1961,0.353
Eastern Africa,1961,0.345
Eastern Africa,1961,0.338
Eastern Africa,1961,0.363
Eastern Africa,1961,0.399
Eastern Africa,1961,0.451
Eastern Africa,1961,0.369
Eastern Africa,1961,0.353
Eastern Africa,1961,0.349
Eastern Africa,1961,0.346
Eastern Africa,1961,0.371
Eastern Africa,1961,0.304
Eastern Africa,1961,0.378
Middle Africa,1961,0.418
Middle Africa,1961,0.506
Middle Africa,1961,0.355
Middle Africa,1961,0.317
Middle Africa,1961,0.291
Middle Africa,1961,0.26
Middle Africa,1961,0.327
Middle Africa,1961,0.295
Middle Africa,1961,0.33
Middle Africa,1961,0.27
Middle Africa,1961,0.301
Middle Africa,1961,0.401
Northern Africa,1961,0.767
Northern Africa,1961,0.804
Northern Africa,1961,0.79
Northern Africa,1961,0.395
Northern Africa,1961,0.506
Northern Africa,1961,0.308
Northern Africa,1961,0.419
Northern Africa,1961,0.312
Northern Africa,1961,0.368
Northern Africa,1961,0.45
Northern Africa,1961,0.624
Northern Africa,1961,0.642
Southern Africa,1961,0.706
Southern Africa,1961,0.624
Southern Africa,1961,0.753
Southern Africa,1961,0.617
Southern Africa,1961,0.409
Southern Africa,1961,0.852
Southern Africa,1961,0.572
Southern Africa,1961,0.61
Southern Africa,1961,0.621
Southern Africa,1961,0.685
Southern Africa,1961,0.585
Southern Africa,1961,0.58
Western Africa,1961,0.915
Western Africa,1961,0.781
Western Africa,1961,0.701
Western Africa,1961,0.498
Western Africa,1961,0.425
Western Africa,1961,0.44
Western Africa,1961,0.446
Western Africa,1961,0.51
Western Africa,1961,0.478
Western Africa,1961,0.424
Western Africa,1961,0.437
Western Africa,1961,0.57
Northern America,1961,0.948
Northern America,1961,1.621
Northern America,1961,1.087
Northern America,1961,0.825
Northern America,1961,0.519
Northern America,1961,0.429
Northern America,1961,0.366
Northern America,1961,0.38
Northern America,1961,0.602
Northern America,1961,0.936
Northern America,1961,0.627
Northern America,1961,1.326
Central America,1961,0.595
Central America,1961,0.52
Central America,1961,0.643
Central America,1961,0.461
Central America,1961,0.325
Central America,1961,0.403
Central America,1961,0.488
Central America,1961,0.385
Central America,1961,0.403
Central America,1961,0.469
Central America,1961,0.566
Central America,1961,0.513
South America,1961,0.263
South America,1961,0.326
South America,1961,0.414
South America,1961,0.418
South America,1961,0.479
South America,1961,0.564
