Area,Year,Temperature Change
Antarctica,1961,-1.807
Antarctica,1961,-0.471
Antarctica,1961,-2.035
Antarctica,1961,-1.477
Antarctica,1961,0.497
Antarctica,1961,3.399
Antarctica,1961,0.016
Antarctica,1961,2.058
Antarctica,1961,1.908
Antarctica,1961,1.282
Antarctica,1961,-0.059
Antarctica,1961,-1.283
South Africa,1961,-0.307
South Africa,1961,0.357
South Africa,1961,0.348
South Africa,1961,0.537
South Africa,1961,-0.232
South Africa,1961,1.015
South Africa,1961,1.188
South Africa,1961,-0.352
South Africa,1961,0.896
South Africa,1961,-0.766
South Africa,1961,0.316
South Africa,1961,-0.717
Africa,1961,0.105
Africa,1961,-0.814
Africa,1961,-0.492
Africa,1961,0.318
Africa,1961,0.684
Africa,1961,0.28
Africa,1961,0.047
Africa,1961,-0.422
Africa,1961,-0.257
Africa,1961,-0.322
Africa,1961,-0.148
Africa,1961,-0.406
Eastern Africa,1961,0.371
Eastern Africa,1961,-0.115
Eastern Africa,1961,0.246
Eastern Africa,1961,0.444
Eastern Africa,1961,0.988
Eastern Africa,1961,0.73
Eastern Africa,1961,0.499
Eastern Africa,1961,-0.293
Eastern Africa,1961,0.048
Eastern Africa,1961,0.058
Eastern Africa,1961,-0.633
Eastern Africa,1961,-0.466
Middle Africa,1961,0.434
Middle Africa,1961,-1.057
Middle Africa,1961,-0.276
Middle Africa,1961,-0.008
Middle Africa,1961,0.456
Middle Africa,1961,0.0
Middle Africa,1961,-0.167
Middle Africa,1961,-0.511
Middle Africa,1961,-0.301
Middle Africa,1961,-0.369
Middle Africa,1961,-0.494
Middle Africa,1961,-0.618
Northern Africa,1961,0.127
Northern Africa,1961,-0.907
Northern Africa,1961,-1.004
Northern Africa,1961,0.571
Northern Africa,1961,0.932
Northern Africa,1961,0.204
Northern Africa,1961,-0.167
Northern Africa,1961,-0.44
Northern Africa,1961,-0.755
Northern Africa,1961,-0.559
Northern Africa,1961,0.489
Northern Africa,1961,0.007
Southern Africa,1961,-0.372
Southern Africa,1961,0.164
Southern Africa,1961,0.076
Southern Africa,1961,0.57
Southern Africa,1961,-0.024
Southern Africa,1961,0.6
Southern Africa,1961,1.302
Southern Africa,1961,-0.416
Southern Africa,1961,0.895
Southern Africa,1961,-0.482
Southern Africa,1961,0.053
Southern Africa,1961,-0.477
Western Africa,1961,-0.35
Western Africa,1961,-1.571
Western Africa,1961,-1.024
Western Africa,1961,0.079
Western Africa,1961,0.578
Western Africa,1961,0.079
Western Africa,1961,-0.44
Western Africa,1961,-0.436
Western Africa,1961,-0.336
Western Africa,1961,-0.267
Western Africa,1961,-0.247
Western Africa,1961,-0.656
Northern America,1961,0.699
Northern America,1961,0.684
Northern America,1961,-0.243
Northern America,1961,-0.7
Northern America,1961,-0.6
Northern America,1961,0.552
Northern America,1961,0.153
Northern America,1961,0.37
Northern America,1961,-0.559
Northern America,1961,-0.727
Northern America,1961,-0.273
Northern America,1961,-1.117
Central America,1961,-0.24
Central America,1961,-0.111
Central America,1961,0.181
Central America,1961,0.209
Central America,1961,0.564
Central America,1961,-0.12
Central America,1961,-0.407
Central America,1961,-0.165
Central America,1961,-0.217
Central America,1961,-0.098
Central America,1961,-0.468
Central America,1961,0.085
South America,1961,0.015
South America,1961,-0.128
South America,1961,-0.098
South America,1961,0.064
South America,1961,0.499
South America,1961,-0.406
South America,1961,-0.116
South America,1961,0.712
South America,1961,0.275
South America,1961,0.347
