Year,count,mean,std,min,25%,50%,75%,max
1961,2919.0,0.7322353545734841,0.4993252593622919,0.142,0.388,0.563,0.95,4.373
1962,2937.0,0.7306387470207695,0.4982929195652821,0.142,0.388,0.56,0.949,4.373
1963,2927.0,0.7317970618380594,0.4987487746452044,0.142,0.388,0.563,0.9495,4.373
1964,2912.0,0.7317541208791208,0.4996159768651358,0.142,0.38775000000000004,0.562,0.949,4.373
1965,2917.0,0.7325159410353101,0.4993929293076786,0.142,0.388,0.563,0.95,4.373
1966,2940.0,0.7306785714285713,0.4981036598484358,0.142,0.388,0.56,0.949,4.373
1967,2940.0,0.7306785714285713,0.4981036598484358,0.142,0.388,0.56,0.949,4.373
1968,2935.0,0.7307935264054514,0.49850931052279723,0.142,0.3875,0.56,0.949,4.373
1969,2928.0,0.7312274590163933,0.4990202599633366,0.142,0.387,0.56,0.95,4.373
1970,2920.0,0.7320386986301369,0.4994478556803484,0.142,0.387,0.562,0.9504999999999999,4.373
1971,2916.0,0.7324951989026062,0.4996267234202673,0.142,0.387,0.563,0.952,4.373
1972,2924.0,0.7305044459644322,0.4992378381795622,0.142,0.387,0.5595000000000001,0.949,4.373
1973,2940.0,0.7306785714285713,0.4981036598484358,0.142,0.388,0.56,0.949,4.373
1974,2931.0,0.731238485158649,0.4987442381813244,0.142,0.387,0.56,0.9495,4.373
1975,2898.0,0.733707729468599,0.5008250753593362,0.142,0.387,0.5634999999999999,0.95475,4.373
1976,2875.0,0.7369968695652174,0.5015212622995775,0.142,0.3885,0.567,0.961,4.373
1977,2885.0,0.7357150779896012,0.5011547718397608,0.142,0.388,0.567,0.956,4.373
1978,2907.0,0.7325448916408668,0.500221278940531,0.142,0.386,0.563,0.952,4.373
1979,2898.0,0.7331770186335403,0.5005960107323533,0.142,0.38725,0.563,0.95275,4.373
1980,2896.0,0.7339267955801105,0.50039636672094,0.142,0.388,0.5645,0.9532499999999999,4.373
1981,2895.0,0.7334625215889465,0.5007566119487227,0.142,0.387,0.563,0.9535,4.373
1982,2880.0,0.7315222222222223,0.501483968929574,0.142,0.387,0.5585,0.949,4.373
1983,2874.0,0.7314575504523312,0.5018894169886345,0.142,0.38625,0.558,0.949,4.373
1984,2887.0,0.7318919293384136,0.5016460687949974,0.142,0.386,0.558,0.9524999999999999,4.373
1985,2875.0,0.7341558260869566,0.5021122690743725,0.142,0.387,0.563,0.956,4.373
1986,2894.0,0.731779198341396,0.5011447275896684,0.142,0.387,0.558,0.95275,4.373
1987,2899.0,0.7310748533977234,0.501099646112042,0.142,0.385,0.558,0.951,4.373
1988,2891.0,0.7313939813213421,0.5015890494047832,0.142,0.385,0.558,0.9524999999999999,4.373
1989,2883.0,0.7318772112382934,0.5020540053965908,0.142,0.3855,0.557,0.954,4.373
