Area,Year,Temperature Change
Antarctica,1961,0.16899999999999996
Antarctica,1962,-0.285
Antarctica,1963,0.3016666666666666
Antarctica,1964,-0.3894166666666667
Antarctica,1965,-0.08441666666666671
Antarctica,1966,-0.15891666666666662
Antarctica,1967,0.0805833333333333
Antarctica,1968,-0.21250000000000002
Antarctica,1969,-0.18158333333333335
Antarctica,1970,-0.07650000000000001
Antarctica,1971,0.3628333333333333
Antarctica,1972,0.45141666666666663
Antarctica,1973,-0.036083333333333356
Antarctica,1974,0.4855833333333333
Antarctica,1975,-0.005249999999999991
Antarctica,1976,-0.5019166666666667
Antarctica,1977,0.01700000000000008
Antarctica,1978,-0.10841666666666668
Antarctica,1979,-0.142
Antarctica,1980,0.6730833333333334
Antarctica,1981,0.5318333333333334
Antarctica,1982,0.07391666666666669
Antarctica,1983,-0.9083333333333333
Antarctica,1984,0.43999999999999995
Antarctica,1985,-0.16408333333333333
Antarctica,1986,-0.17566666666666672
Antarctica,1987,-0.6594166666666667
Antarctica,1988,0.9083333333333333
Antarctica,1989,-0.17008333333333325
Antarctica,1990,0.29725
Antarctica,1991,0.6236666666666667
Antarctica,1992,0.21575
Antarctica,1993,-0.8419166666666666
Antarctica,1994,-0.23724999999999996
Antarctica,1995,-0.16166666666666668
Antarctica,1996,0.8294166666666666
Antarctica,1997,-0.6023333333333333
Antarctica,1998,-0.5501666666666667
Antarctica,1999,-0.7796666666666666
Antarctica,2000,-0.5335
Antarctica,2001,-0.014250000000000004
Antarctica,2002,1.0499166666666666
Antarctica,2003,-0.16774999999999998
Antarctica,2004,0.13549999999999998
Antarctica,2005,0.9604166666666667
Antarctica,2006,-0.38591666666666663
Antarctica,2007,0.7360833333333333
Antarctica,2008,0.6573333333333334
Antarctica,2009,1.3633333333333333
Antarctica,2010,0.7851666666666666
Antarctica,2011,0.7174999999999999
Antarctica,2012,-0.08108333333333333
Antarctica,2013,1.6686666666666667
Antarctica,2014,0.45766666666666667
Antarctica,2015,-0.1641666666666667
Antarctica,2016,0.3621666666666667
Antarctica,2017,0.64525
Antarctica,2018,1.6449999999999998
Antarctica,2019,0.51575
Belarus,1961,
Belarus,1962,
Belarus,1963,
Belarus,1964,
Belarus,1965,
Belarus,1966,
Belarus,1967,
Belarus,1968,
Belarus,1969,
Belarus,1970,
Belarus,1971,
Belarus,1972,
Belarus,1973,
Belarus,1974,
Belarus,1975,
Belarus,1976,
Belarus,1977,
Belarus,1978,
Belarus,1979,
Belarus,1980,
Belarus,1981,
Belarus,1982,
Belarus,1983,
Belarus,1984,
Belarus,1985,
Belarus,1986,
Belarus,1987,
Belarus,1988,
Belarus,1989,
Belarus,1990,
Belarus,1991,
Belarus,1992,1.2728333333333335
Belarus,1993,0.1596666666666667
Belarus,1994,0.8730000000000001
Belarus,1995,1.16925
Belarus,1996,-0.22033333333333338
Belarus,1997,0.4741666666666666
Belarus,1998,0.6803333333333333
Belarus,1999,1.8398333333333332
Belarus,2000,2.035833333333333
Belarus,2001,1.2394166666666668
Belarus,2002,1.7725833333333334
Belarus,2003,0.7839166666666667
Belarus,2004,0.9733333333333333
Belarus,2005,1.072
Belarus,2006,1.0533333333333335
Belarus,2007,2.0550833333333336
Belarus,2008,2.2495833333333333
Belarus,2009,1.3310833333333332
Belarus,2010,1.1880833333333334
Belarus,2011,1.671833333333333
Belarus,2012,0.9385
Belarus,2013,1.667
Belarus,2014,1.9449166666666668
Belarus,2015,2.57
Belarus,2016,1.9076666666666666
Belarus,2017,1.7741666666666667
Belarus,2018,2.1031666666666666
Belarus,2019,2.9815
Belgium,1961,
Belgium,1962,
Belgium,1963,
Belgium,1964,
Belgium,1965,
Belgium,1966,
Belgium,1967,
Belgium,1968,
Belgium,1969,
Belgium,1970,
Belgium,1971,
Belgium,1972,
Belgium,1973,
Belgium,1974,
Belgium,1975,
Belgium,1976,
Belgium,1977,
Belgium,1978,
Belgium,1979,
Belgium,1980,
Belgium,1981,
Belgium,1982,
Belgium,1983,
Belgium,1984,
Belgium,1985,
Belgium,1986,
Belgium,1987,
Belgium,1988,
Belgium,1989,
Belgium,1990,
Belgium,1991,
Belgium,1992,
Belgium,1993,
Belgium,1994,
Belgium,1995,
Belgium,1996,
Belgium,1997,
Belgium,1998,
Belgium,1999,
Belgium,2000,1.5810833333333332
Belgium,2001,1.0746666666666667
Belgium,2002,1.5656666666666668
Belgium,2003,1.498
Belgium,2004,0.97675
Belgium,2005,1.2186666666666668
Belgium,2006,1.6160833333333333
Belgium,2007,1.7001666666666668
Belgium,2008,1.1500833333333333
Belgium,2009,1.1690833333333333
Belgium,2010,-0.07425
Belgium,2011,1.85475
Belgium,2012,1.0341666666666667
Belgium,2013,0.5406666666666666
Belgium,2014,2.3419166666666666
Belgium,2015,1.7399166666666666
Belgium,2016,1.4685833333333334
Belgium,2017,1.7495
Belgium,2018,2.31
Belgium,2019,2.071
Bosnia and Herzegovina,1961,
Bosnia and Herzegovina,1962,
Bosnia and Herzegovina,1963,
Bosnia and Herzegovina,1964,
Bosnia and Herzegovina,1965,
Bosnia and Herzegovina,1966,
Bosnia and Herzegovina,1967,
Bosnia and Herzegovina,1968,
Bosnia and Herzegovina,1969,
