Area,Season,Year,Months,Temperature Change,Outlier Type
Andorra,Winter,1961,February,3.383,High
Antarctica,Spring,1961,March,-2.035,Low
Antarctica,Summer,1961,June,3.399,High
Austria,Spring,1961,April,3.571,High
Austria,Fall,1961,September,2.782,High
Belgium-Luxembourg,Winter,1961,February,4.081,High
Belgium-Luxembourg,Spring,1961,April,2.975,High
Belgium-Luxembourg,Summer,1961,July,-1.603,Low
Belgium-Luxembourg,Fall,1961,September,3.312,High
Bhutan,Winter,1961,December,-2.091,Low
Chad,Winter,1961,February,-2.464,Low
Chad,Spring,1961,March,-1.854,Low
Czechoslovakia,Spring,1961,March,3.102,High
Czechoslovakia,Spring,1961,April,3.284,High
Czechoslovakia,Winter,1961,December,-2.19,Low
Denmark,Winter,1961,February,3.998,High
Denmark,Spring,1961,March,3.596,High
Egypt,Spring,1961,March,-2.072,Low
Egypt,Fall,1961,September,-2.042,Low
Finland,Winter,1961,February,5.771,High
Finland,Spring,1961,March,3.104,High
Finland,Fall,1961,October,4.699,High
Finland,Fall,1961,November,2.587,High
France,Winter,1961,February,3.417,High
France,Fall,1961,September,2.906,High
Germany,Winter,1961,February,4.191,High
Germany,Spring,1961,April,3.226,High
Germany,Summer,1961,July,-1.548,Low
Germany,Fall,1961,September,3.073,High
Greenland,Winter,1961,February,-3.191,Low
Greenland,Spring,1961,March,-3.02,Low
Hungary,Spring,1961,April,3.21,High
Iraq,Spring,1961,March,-1.949,Low
Iraq,Fall,1961,September,-2.145,Low
Isle of Man,Winter,1961,February,3.011,High
Isle of Man,Winter,1961,December,-2.384,Low
Israel,Fall,1961,September,-1.679,Low
Jordan,Fall,1961,September,-2.021,Low
Kuwait,Fall,1961,September,-1.966,Low
Libya,Winter,1961,February,-2.18,Low
Libya,Spring,1961,March,-2.129,Low
Libya,Fall,1961,September,-1.922,Low
Liechtenstein,Winter,1961,February,3.201,High
Liechtenstein,Spring,1961,April,3.658,High
Liechtenstein,Fall,1961,September,3.282,High
Midway Island,Spring,1961,April,-2.038,Low
Mongolia,Spring,1961,April,3.176,High
Nepal,Winter,1961,December,-2.11,Low
Netherlands,Winter,1961,February,4.082,High
Netherlands,Fall,1961,September,2.941,High
Niger,Winter,1961,February,-2.901,Low
Niger,Spring,1961,March,-3.009,Low
Niger,Winter,1961,December,-2.211,Low
