Area,Season,Year,Months,Standard Deviation,Outlier Type
Afghanistan,Winter,1961,February,2.597,High
Antarctica,Spring,1961,April,1.868,High
Antarctica,Summer,1961,June,1.929,High
Antarctica,Summer,1961,July,1.801,High
Antarctica,Summer,1961,August,2.216,High
Antarctica,Fall,1961,September,2.058,High
Argentina,Summer,1961,July,1.424,High
Austria,Winter,1961,February,2.924,High
Austria,Spring,1961,March,2.054,High
Belgium-Luxembourg,Winter,1961,February,2.905,High
Belgium-Luxembourg,Spring,1961,March,1.844,High
Belgium-Luxembourg,Summer,1961,July,1.397,High
Bulgaria,Winter,1961,February,2.776,High
Bulgaria,Summer,1961,August,1.343,High
Canada,Spring,1961,March,1.875,High
Czechoslovakia,Winter,1961,February,3.13,High
Czechoslovakia,Spring,1961,March,2.322,High
Denmark,Winter,1961,February,2.55,High
Denmark,Spring,1961,March,2.01,High
Finland,Winter,1961,January,3.335,High
Finland,Winter,1961,February,3.566,High
Finland,Spring,1961,March,2.892,High
Finland,Summer,1961,June,1.583,High
Finland,Summer,1961,July,1.38,High
Finland,Fall,1961,October,1.915,High
Finland,Fall,1961,November,2.28,High
Finland,Winter,1961,December,3.499,High
Germany,Winter,1961,February,2.957,High
Germany,Spring,1961,March,2.037,High
Greenland,Spring,1961,March,2.021,High
Hungary,Winter,1961,February,3.171,High
Hungary,Spring,1961,March,2.223,High
Iceland,Spring,1961,March,2.196,High
Liechtenstein,Winter,1961,February,2.814,High
Liechtenstein,Spring,1961,March,1.959,High
Mongolia,Winter,1961,February,3.021,High
Mongolia,Spring,1961,March,1.962,High
Mongolia,Fall,1961,November,2.235,High
Mongolia,Winter,1961,December,2.926,High
Netherlands,Winter,1961,February,2.75,High
Norway,Spring,1961,March,2.1,High
Norway,Summer,1961,June,1.468,High
Paraguay,Summer,1961,June,1.592,High
Paraguay,Summer,1961,July,2.058,High
Paraguay,Summer,1961,August,1.58,High
Poland,Winter,1961,January,2.587,High
Poland,Winter,1961,February,3.375,High
Poland,Spring,1961,March,2.815,High
Poland,Summer,1961,July,1.336,High
Romania,Winter,1961,February,3.065,High
Romania,Spring,1961,March,2.027,High
Romania,Fall,1961,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1961,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1961,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1961,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1961,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1961,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1961,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1961,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1961,December,4.189,High
Sweden,Winter,1961,January,2.681,High
Sweden,Winter,1961,February,3.178,High
Sweden,Spring,1961,March,2.462,High
Sweden,Summer,1961,June,1.359,High
Sweden,Fall,1961,November,1.927,High
Sweden,Winter,1961,December,2.699,High
Switzerland,Winter,1961,February,2.724,High
Switzerland,Spring,1961,March,1.836,High
Uruguay,Summer,1961,June,1.463,High
Uruguay,Summer,1961,July,1.606,High
Yugoslav SFR,Winter,1961,February,2.753,High
Northern Europe,Winter,1961,February,2.643,High
Northern Europe,Spring,1961,March,1.93,High
Afghanistan,Winter,1962,February,2.597,High
Antarctica,Spring,1962,April,1.868,High
Antarctica,Summer,1962,June,1.929,High
Antarctica,Summer,1962,July,1.801,High
Antarctica,Summer,1962,August,2.216,High
Antarctica,Fall,1962,September,2.058,High
Argentina,Summer,1962,July,1.424,High
Austria,Winter,1962,February,2.924,High
Austria,Spring,1962,March,2.054,High
Belgium-Luxembourg,Winter,1962,February,2.905,High
Belgium-Luxembourg,Spring,1962,March,1.844,High
Belgium-Luxembourg,Summer,1962,July,1.397,High
Bulgaria,Winter,1962,February,2.776,High
Bulgaria,Summer,1962,August,1.343,High
Canada,Spring,1962,March,1.875,High
Czechoslovakia,Winter,1962,February,3.13,High
Czechoslovakia,Spring,1962,March,2.322,High
Denmark,Winter,1962,February,2.55,High
Denmark,Spring,1962,March,2.01,High
Finland,Winter,1962,January,3.335,High
Finland,Winter,1962,February,3.566,High
Finland,Spring,1962,March,2.892,High
Finland,Summer,1962,June,1.583,High
Finland,Summer,1962,July,1.38,High
Finland,Fall,1962,October,1.915,High
Finland,Fall,1962,November,2.28,High
Finland,Winter,1962,December,3.499,High
Germany,Winter,1962,February,2.957,High
Germany,Spring,1962,March,2.037,High
Greenland,Spring,1962,March,2.021,High
Hungary,Winter,1962,February,3.171,High
Hungary,Spring,1962,March,2.223,High
Iceland,Spring,1962,March,2.196,High
Liechtenstein,Winter,1962,February,2.814,High
Liechtenstein,Spring,1962,March,1.959,High
Mongolia,Winter,1962,February,3.021,High
Mongolia,Spring,1962,March,1.962,High
Mongolia,Fall,1962,November,2.235,High
Mongolia,Winter,1962,December,2.926,High
Netherlands,Winter,1962,February,2.75,High
Norway,Spring,1962,March,2.1,High
Norway,Summer,1962,June,1.468,High
Paraguay,Summer,1962,June,1.592,High
Paraguay,Summer,1962,July,2.058,High
Paraguay,Summer,1962,August,1.58,High
Poland,Winter,1962,January,2.587,High
Poland,Winter,1962,February,3.375,High
Poland,Spring,1962,March,2.815,High
Poland,Summer,1962,July,1.336,High
Romania,Winter,1962,February,3.065,High
Romania,Spring,1962,March,2.027,High
Romania,Fall,1962,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1962,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1962,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1962,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1962,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1962,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1962,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1962,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1962,December,4.189,High
Sweden,Winter,1962,January,2.681,High
Sweden,Winter,1962,February,3.178,High
Sweden,Spring,1962,March,2.462,High
Sweden,Summer,1962,June,1.359,High
Sweden,Fall,1962,November,1.927,High
Sweden,Winter,1962,December,2.699,High
Switzerland,Winter,1962,February,2.724,High
Switzerland,Spring,1962,March,1.836,High
Uruguay,Summer,1962,June,1.463,High
Uruguay,Summer,1962,July,1.606,High
Yugoslav SFR,Winter,1962,February,2.753,High
Northern Europe,Winter,1962,February,2.643,High
Northern Europe,Spring,1962,March,1.93,High
Afghanistan,Winter,1963,February,2.597,High
Antarctica,Spring,1963,April,1.868,High
Antarctica,Summer,1963,June,1.929,High
Antarctica,Summer,1963,July,1.801,High
Antarctica,Summer,1963,August,2.216,High
Antarctica,Fall,1963,September,2.058,High
Argentina,Summer,1963,July,1.424,High
Austria,Winter,1963,February,2.924,High
Austria,Spring,1963,March,2.054,High
Belgium-Luxembourg,Winter,1963,February,2.905,High
Belgium-Luxembourg,Spring,1963,March,1.844,High
Belgium-Luxembourg,Summer,1963,July,1.397,High
Bulgaria,Winter,1963,February,2.776,High
Bulgaria,Summer,1963,August,1.343,High
Canada,Spring,1963,March,1.875,High
Czechoslovakia,Winter,1963,February,3.13,High
Czechoslovakia,Spring,1963,March,2.322,High
Denmark,Winter,1963,February,2.55,High
Denmark,Spring,1963,March,2.01,High
Finland,Winter,1963,January,3.335,High
Finland,Winter,1963,February,3.566,High
Finland,Spring,1963,March,2.892,High
Finland,Summer,1963,June,1.583,High
Finland,Summer,1963,July,1.38,High
Finland,Fall,1963,October,1.915,High
Finland,Fall,1963,November,2.28,High
Finland,Winter,1963,December,3.499,High
Germany,Winter,1963,February,2.957,High
Germany,Spring,1963,March,2.037,High
Greenland,Spring,1963,March,2.021,High
Hungary,Winter,1963,February,3.171,High
Hungary,Spring,1963,March,2.223,High
